setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1433.4074,24.286,0.38,9.793291358738842e+16,1.405297784244313,4.0
1,1424.6132,24.436,0.382,9.764056850733466e+16,1.2857316986602896,4.0
2,1426.8445,24.398,0.381,9.77339845214208e+16,1.339921136112774,4.0
3,1429.7837,24.348,0.38,9.781295129591808e+16,1.322915727601332,4.0
4,1428.2652,24.374,0.381,9.77759881248768e+16,1.3625345493064207,4.0
5,1429.7383,24.349,0.38,9.789830261814067e+16,1.2917752958395903,4.0
6,1430.4434,24.337,0.38,9.777027563480678e+16,1.324262641808566,4.0
7,1429.8749,24.346,0.38,9.779648588336333e+16,1.317223592716105,4.0
8,1431.3942,24.32,0.38,9.768794857203302e+16,1.3075093951295405,4.0
9,1427.7582,24.382,0.381,9.748028275654656e+16,1.2995249173220467,4.0
