setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,422.2839,83.205,1.298,1.0690213428854784e+16,1.3345542789375695,3.9927140255009106
1,415.8055,84.501,1.318,1.066624434044928e+16,1.3348998222907964,3.9927140255009106
2,418.6256,83.932,1.309,1.0675981782614016e+16,1.3254223391957527,3.9927140255009106
3,416.3768,84.385,1.316,1.0693958598918144e+16,1.3607776530467681,3.9927140255009106
4,427.2163,82.244,1.283,1.0676730816626688e+16,1.3244064115259768,3.9927140255009106
5,420.076,83.642,1.305,1.0682723088728064e+16,1.3341552114834752,3.9927140255009106
6,415.7908,84.504,1.318,1.0672985646563328e+16,1.3597195931594737,3.9927140255009106
7,419.7957,83.698,1.305,1.0694707632930816e+16,1.3178841806676267,3.9927140255009106
8,422.8492,83.093,1.296,1.0656506898284544e+16,1.336307814521511,3.9927140255009106
9,423.9275,82.882,1.293,1.0674483714588672e+16,1.3323878841678591,3.9927140255009106
